Time,"Population, total",Population growth (annual %),Surface area (sq. km),"GNI, Atlas method (current US$)","GNI per capita, Atlas method (current US$)","Life expectancy at birth, total (years)","Fertility rate, total (births per woman)","Adolescent fertility rate (births per 1,000 women ages 15-19)","Mortality rate, under-5 (per 1,000 live births)","Primary completion rate, total (% of relevant age group)","School enrollment, secondary (% gross)","School enrollment, primary and secondary (gross), gender parity index (GPI)","Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)",Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Gross capital formation (% of GDP),"Revenue, excluding grants (% of GDP)",Market capitalization of listed domestic companies (% of GDP),Military expenditure (% of GDP),Merchandise trade (% of GDP),Net migration,"Personal remittances, paid (current US$)","Foreign direct investment, net inflows (BoP, current US$)",GDP per capita (current US$),"Foreign direct investment, net (BoP, current US$)","Inflation, consumer prices (annual %)",Average precipitation in depth (mm per year),"Compulsory education, duration (years)"
1975.0,9093470.0,3.80041403952037,92120.0,20097866936.1859,2210.0,68.309756097561,2.75,38.534,43.5,73.1816787719727,50.2244491577148,0.965290009975433,50.6863391739167,15.9828848476987,25.5501820157125,19.4508314348027,19.3508074157879,26.9892560054462,3.09510805560106,29.8641570929375,42262.0,22848613.74,115351290.512931,2127.6375072593,-107257715.543634,15.2716857518483,854.0,10.0
1975.0,35757900.0,1.08129360308283,505990.0,116009853989.808,3240.0,73.3187804878049,2.77,22.16,21.7,99.3122482299805,67.0649337768555,0.980660021305084,14.0347242671463,12.3979587865452,16.7219411492543,30.108702101977,19.0982187538234,28.9462246659043,2.00426223337861,20.8858165455288,-218.0,1717612.982,682635310.557578,3207.54465082024,-512692421.605573,16.9532859334982,636.0,10.0
1975.0,55441001.0,0.597247218554801,301340.0,239670899747.251,4320.0,72.6473170731708,2.17,31.163,23.1,104.62264251709,67.5909194946289,0.936779975891113,22.4550868777107,18.6891805877491,18.6252648445181,24.4133501687542,24.4269426279818,4.7322625301177,1.97523216803617,32.2118099665808,43051.0,247421447.8,644515567.897932,4116.45964933054,-301212408.524107,16.9505025668306,832.0,10.0
1975.0,78673554.0,-0.372846359360899,356970.0,528902627748.712,6720.0,71.259243902439,1.45,30.754,20.8,99.3122482299805,100.742958068848,0.9999350011348724,50.6863391739167,17.0391415858527,18.7315524797613,24.8513625806296,22.3490553010983,10.4380079548187,3.28321616081458,33.5287506903412,-207740.0,4095520996.0,690496822.87674,6259.20744498342,1490736256.51418,5.91033626324104,700.0,10.0
1975.0,54002853.0,0.475700887805125,549086.0,363109014278.943,6720.0,72.8536585365854,2.09,33.963,14.9,94.7819519042969,84.5945892333984,1.03438997268677,50.6863391739167,19.6042065559987,18.1417301785284,25.2274844771563,33.4014758548634,9.89401814996463,3.1971454640285,30.0035824668098,16139.0,2506303955.0,1563849883.25955,6606.70146747184,-225901953.377271,11.6859272493228,867.0,10.0
1975.0,9800700.0,0.288978161128393,33120.0,67734022252.5936,6910.0,71.9712195121951,1.74,27.348,18.6,69.9024124145508,83.6702728271484,0.99507999420166,50.6863391739167,45.91603656753,45.6077121111552,26.6322365651753,35.1685859391222,13.703331537762,3.06503453940771,56.949534969442,9652.0,580808349.6,954600000.0,6701.37736052433,-268901305.3429265,12.7681985920515,847.0,10.0
1975.0,7578903.0,-0.265319410736808,83879.0,41973161602.1743,5540.0,71.1146341463415,1.83,45.788,23.1,99.3122482299805,100.742958068848,0.9999350011348724,50.6863391739167,28.2051095725591,28.61658706493,27.5044114028849,29.4234922031931,3.25798256514262,1.45127836371395,42.3860271261429,-24253.0,243576324.5,79109999.9,5264.91772004051,-268901305.3429265,8.44525863917974,1110.0,10.0
1975.0,4512082.0,0.475900351929317,56540.0,169718651797.0025,15820.0,70.0019512195122,1.951,52.717,7.4,99.3122482299805,100.742958068848,0.9999350011348724,50.6863391739167,38.4711164171074,36.9194069594885,23.5882360674433,35.1685859391222,26.9892560054462,1.70523464011206,56.949534969442,-7366.0,536805624.619408,1977264596.96392,15880.03059212925,-268901305.3429265,3.18982591472949,656.0,10.0
1975.0,5059862.0,0.28826879589183,42920.0,40912988374.4122,8090.0,74.0751219512195,1.92,26.361,12.3,91.728157043457,100.742958068848,0.9999350011348724,118.047928152958,29.4105199812041,30.3715724725745,22.4820976446144,29.9880986227097,10.1437276526256,2.39724954226188,47.2055599189499,-10672.0,536805624.619408,266942015.475092,7988.15613263518,-188130316.363459,9.60561207538676,703.0,10.0
1975.0,1429352.0,0.785459176187127,45230.0,169718651797.0025,15820.0,69.7081219512195,2.04,35.897,7.4,99.3122482299805,100.742958068848,0.9999350011348724,50.6863391739167,38.4711164171074,36.9194069594885,23.5882360674433,35.1685859391222,26.9892560054462,1.70523464011206,56.949534969442,6737.0,536805624.619408,1977264596.96392,15880.03059212925,-268901305.3429265,3.18982591472949,656.0,10.0
1975.0,9046541.0,0.938660353611257,131960.0,31483144169.8649,3480.0,73.4011707317073,2.33,47.093,26.2,100.34326171875,81.7691192626953,0.909219980239868,28.0314583629829,14.0872649323694,20.3159030900081,33.6124091454659,19.8991394080381,26.9892560054462,5.84732162220776,27.1995628177477,61265.0,536805624.619408,24000000.0,3109.3794397892,-268901305.3429265,13.6287617821755,652.0,10.0
1975.0,10540525.0,0.588081809047071,93030.0,12642022208.4325,1200.0,69.29,2.35,77.013,35.5,96.4023590087891,76.2377395629883,0.958119988441467,16.8007941088743,38.4711164171074,36.9194069594885,23.5882360674433,35.1685859391222,26.9892560054462,3.33540501346592,116.549573590327,-335.0,536805624.619408,1977264596.96392,1079.94042321749,-268901305.3429265,3.84215991793819,589.0,10.0
1975.0,34015199.0,0.99359553240035,312690.0,169718651797.0025,15820.0,70.5609756097561,2.27,32.812,27.9,100.944488525391,81.3146209716797,0.9999350011348724,50.6863391739167,38.4711164171074,36.9194069594885,23.5882360674433,35.1685859391222,26.9892560054462,1.70523464011206,56.949534969442,-31346.0,536805624.619408,1977264596.96392,15880.03059212925,-268901305.3429265,2.2563176895509,600.0,10.0
1975.0,8192437.0,0.3972757346008,447420.11,83268970333.7632,10160.0,74.9846341463415,1.77,28.685,10.3,95.9923477172852,83.3746109008789,1.0066499710083,54.4129750765335,25.811869825115,25.5936642747178,31.0607458827306,27.1633376800881,2.65810253293715,3.08160313845438,42.0872376181621,16564.0,52878990.17,80215154.576941,10102.7548636011,354216332.6372,9.77987398822576,624.0,10.0
1975.0,4007313.0,0.551888897314436,385178.0,33591733009.4045,8380.0,74.8175609756098,1.98,39.899,12.9,100.556411743164,89.6936569213867,1.00809001922607,50.6863391739167,35.2425676029538,41.0261334078173,37.4468283202114,31.2175223597461,26.9892560054462,3.20843028338556,51.5149958975612,3312.0,12653072.36,219677309.752939,8204.45151152979,-48158137.0531931,11.6892234816854,1414.0,10.0
1975.0,8720742.0,0.482739307856323,110990.0,169718651797.0025,15820.0,71.049756097561,2.23,76.159,28.6,87.8905715942383,94.9200210571289,1.00046002864838,50.6863391739167,38.4711164171074,36.9194069594885,23.5882360674433,35.1685859391222,26.9892560054462,1.70523464011206,56.949534969442,-38071.0,536805624.619408,1977264596.96392,15880.03059212925,-268901305.3429265,3.18982591472949,608.0,10.0
1975.0,10058620.0,0.699965181580971,78870.0,169718651797.0025,15820.0,70.4146341463415,2.43,65.44,21.6,99.3122482299805,88.1152267456055,1.03024005889893,50.6863391739167,38.4711164171074,36.9194069594885,23.5882360674433,35.1685859391222,26.9892560054462,1.70523464011206,56.949534969442,-3057.0,536805624.619408,1977264596.96392,15880.03059212925,-268901305.3429265,3.18982591472949,656.0,10.0
1975.0,4711440.0,0.443863075666863,338150.0,29765873422.9409,6320.0,71.6736585365854,1.68,27.767,12.3,99.3122482299805,107.145042419434,0.9999350011348724,27.5847357399815,22.131636296717,28.1964504057777,36.1656051779694,26.361188863956,26.9892560054462,1.50815981992122,44.5458457723256,-3807.0,6792973.042,68270104.6169261,6256.10245136117,-42292963.8965749,17.8113972340213,536.0,10.0
1975.0,2456130.0,0.774284540119002,64594.0,169718651797.0025,15820.0,68.9253658536585,1.96,29.564,7.4,99.3122482299805,100.742958068848,0.9999350011348724,50.6863391739167,38.4711164171074,36.9194069594885,23.5882360674433,35.1685859391222,26.9892560054462,1.70523464011206,56.949534969442,12166.0,536805624.619408,1977264596.96392,15880.03059212925,-268901305.3429265,3.18982591472949,656.0,10.0
1975.0,3301652.0,0.844284714491626,65300.0,169718651797.0025,15820.0,70.8673170731707,2.18,21.668,22.6,99.3122482299805,100.742958068848,0.9999350011348724,50.6863391739167,38.4711164171074,36.9194069594885,23.5882360674433,35.1685859391222,26.9892560054462,1.70523464011206,56.949534969442,8170.0,536805624.619408,1977264596.96392,15880.03059212925,-268901305.3429265,3.18982591472949,656.0,10.0
